latitude,longitude,elevation
46.372264,14.102708,547.6
46.372298,14.102646,545.8
46.37232,14.102571,544.4
46.372351,14.102487,542.6
46.37236,14.102387,541.4
46.372369,14.102258,539.9
46.372398,14.102098,537.6
46.372435,14.10191,533.3
46.372469,14.101697,528.8
46.372516,14.101491,524.4
46.372534,14.101392,522.5
46.372565,14.101175,519.8
46.372576,14.101117,519.5
46.372585,14.101078,519.3
46.372585,14.101058,519.3
46.372595,14.101026,519.1
46.372603,14.100997,519.0
46.37255,14.100802,519.3
46.372517,14.100661,519.4
46.372516,14.100508,519.1
46.372544,14.100349,519.3
46.372615,14.100114,521.4
46.37266,14.099962,523.1
46.372701,14.099822,524.8
46.372742,14.099692,526.6
46.372781,14.099484,528.7
46.372805,14.099346,529.5
46.372827,14.099189,530.4
46.372857,14.099021,531.3
46.372876,14.098937,531.9
46.372958,14.098707,531.7
46.373026,14.098562,529.2
46.373089,14.098424,526.9
46.373193,14.098251,523.8
46.373283,14.098127,521.4
46.373383,14.09801,519.0
46.373495,14.09792,516.6
46.373607,14.09785,514.3
46.373713,14.097781,512.4
46.373859,14.097644,511.5
46.373948,14.097526,511.2
46.374065,14.097326,510.8
46.374128,14.097178,510.6
46.374187,14.09703,510.4
46.374244,14.096883,510.1
46.374302,14.096737,509.8
46.374359,14.096588,509.4
46.374415,14.096441,509.0
46.374468,14.096297,508.5
46.374518,14.096149,508.7
46.374564,14.095999,509.2
46.374607,14.095846,510.0
46.374646,14.095689,510.7
46.374679,14.095531,511.4
46.374711,14.095371,511.8
46.374743,14.095209,511.6
46.374781,14.095045,511.4
46.374822,14.094883,511.3
46.374864,14.094722,511.1
46.374906,14.094559,511.0
46.374953,14.094407,511.2
46.375001,14.094249,511.4
46.375056,14.094096,511.6
46.375118,14.093952,511.8
46.375177,14.093811,511.9
46.375232,14.093664,512.0
46.37529,14.093511,512.0
46.375351,14.093358,512.0
46.375409,14.093211,512.0
46.375474,14.093072,511.9
46.375542,14.09293,511.8
46.375611,14.092782,512.1
46.37568,14.092629,512.4
46.375753,14.092474,512.7
46.375822,14.092323,512.9
46.375889,14.092174,513.2
46.375959,14.092023,513.5
46.376029,14.091873,513.8
46.376095,14.091725,514.0
46.376156,14.091569,514.3
46.376212,14.091411,514.7
46.376275,14.091253,515.0
46.376326,14.091098,515.6
46.376385,14.090946,516.2
46.376449,14.090799,516.8
46.37652,14.090663,517.3
46.376595,14.090518,518.0
46.376666,14.090363,518.7
46.376735,14.090206,519.5
46.376768,14.090125,519.9
46.376879,14.089926,521.0
46.376945,14.089792,521.7
46.377017,14.089557,522.7
46.377049,14.089398,522.3
46.377074,14.089238,521.7
46.377101,14.089077,521.3
46.377134,14.088916,521.0
46.377167,14.088758,520.7
46.377204,14.088605,521.2
46.37724,14.088457,521.6
46.377313,14.088254,522.1
46.377372,14.088135,522.4
46.377483,14.087984,522.6
46.377523,14.087945,522.6
46.377639,14.087846,522.8
46.377719,14.087782,523.0
46.377804,14.087723,523.3
46.37789,14.087671,523.5
46.377973,14.087631,523.7
46.378052,14.0876,523.8
46.378167,14.087567,523.9
46.378274,14.087554,524.0
46.378346,14.087542,524.0
46.378454,14.087528,524.0
46.378524,14.087519,524.0
46.378588,14.087501,524.0
46.378649,14.087478,524.0
46.378715,14.087455,523.9
46.378783,14.08743,524.0
46.378856,14.087405,524.3
46.378925,14.087375,524.5
46.378991,14.087344,524.7
46.379059,14.087311,524.8
46.379129,14.087274,524.9
46.379206,14.087234,525.0
46.379285,14.087195,525.0
46.379366,14.08717,525.1
46.379451,14.087174,525.4
46.379542,14.087207,525.9
46.379635,14.087253,526.6
46.379684,14.087272,527.0
46.379843,14.087283,527.7
46.379949,14.087246,527.9
46.380048,14.087174,527.8
46.380093,14.087138,527.8
46.380228,14.087037,528.1
46.380312,14.086967,528.6
46.380391,14.086901,529.1
46.380468,14.086835,529.8
46.380545,14.086776,530.7
46.380624,14.086727,531.6
46.380701,14.08668,532.4
46.380774,14.086643,533.2
46.380835,14.086615,533.8
46.380887,14.086589,534.3
46.38094,14.086564,534.9
46.38099,14.086537,535.4
46.381036,14.086502,535.9
46.381083,14.086466,536.3
46.38113,14.086431,536.8
46.381174,14.086387,537.3
46.381213,14.086337,537.6
46.381252,14.086284,538.0
46.381288,14.086223,538.6
46.381324,14.086158,539.3
46.381358,14.086092,540.0
46.381397,14.086032,540.7
46.381435,14.085969,541.5
46.381473,14.085896,542.2
46.381507,14.085815,543.0
46.381539,14.085732,543.7
46.381573,14.085648,544.4
46.381603,14.085566,545.1
46.381633,14.085491,545.8
46.381662,14.085411,546.4
46.381687,14.085326,546.9
46.381713,14.085243,547.3
46.381736,14.085157,547.6
46.38176,14.085066,548.0
46.381782,14.084975,548.3
46.381802,14.084882,548.5
46.38182,14.084784,548.7
46.381839,14.084684,548.9
46.381856,14.084576,549.1
46.381874,14.084465,549.6
46.381892,14.084351,550.0
46.381908,14.084235,550.5
46.38192,14.08412,550.8
46.381923,14.083999,551.2
